epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10544.1,1.4374,1.2838,1.40068,0.72127,0.52631,0.61506,0.3549,1.48932,1.14507,1.37078,0.000614,0.000614,0.000614
44,10766.7,1.41819,1.26648,1.39196,0.76176,0.51897,0.61537,0.35113,1.51352,1.14588,1.37143,0.000581,0.000581,0.000581
45,10989.1,1.41728,1.26178,1.39011,0.74016,0.52901,0.62049,0.35161,1.518,1.15821,1.37509,0.000548,0.000548,0.000548
46,11213.1,1.40973,1.25558,1.39086,0.72996,0.52751,0.6133,0.34448,1.55168,1.15991,1.38549,0.000515,0.000515,0.000515
47,11438.5,1.41163,1.24841,1.37869,0.71963,0.53174,0.61825,0.3589,1.48913,1.14436,1.3563,0.000482,0.000482,0.000482
48,11662.9,1.4098,1.25026,1.37249,0.7189,0.53098,0.61613,0.35026,1.52629,1.14436,1.36584,0.000449,0.000449,0.000449
49,11888.4,1.39889,1.23323,1.37495,0.7387,0.53996,0.62368,0.35465,1.51181,1.11946,1.37298,0.000416,0.000416,0.000416
50,12110.8,1.38933,1.21826,1.36988,0.74627,0.53871,0.63117,0.36097,1.51302,1.11896,1.35708,0.000383,0.000383,0.000383
51,12355.8,1.31629,1.06195,1.29866,0.73742,0.53498,0.62488,0.36087,1.48313,1.11697,1.35378,0.00035,0.00035,0.00035
52,12577.1,1.29045,1.02475,1.28441,0.73594,0.5407,0.63191,0.36559,1.47913,1.11006,1.35201,0.000317,0.000317,0.000317
53,12799,1.29551,1.0135,1.28565,0.73638,0.54419,0.63087,0.36553,1.49031,1.10068,1.35517,0.000284,0.000284,0.000284
54,13022.2,1.26865,0.99492,1.26907,0.76781,0.52275,0.62755,0.36938,1.45425,1.10001,1.33728,0.000251,0.000251,0.000251
55,13243.8,1.25657,0.97365,1.26266,0.73242,0.5417,0.63288,0.36946,1.45809,1.10158,1.33865,0.000218,0.000218,0.000218
56,13467.2,1.25885,0.97593,1.26475,0.75772,0.53498,0.63071,0.36933,1.4591,1.09534,1.33497,0.000185,0.000185,0.000185
57,13691.8,1.24172,0.95616,1.25331,0.7367,0.5398,0.63422,0.36957,1.46799,1.08717,1.34461,0.000152,0.000152,0.000152
58,13913.3,1.24151,0.9421,1.25271,0.73579,0.54717,0.63612,0.37026,1.46048,1.08445,1.3436,0.000119,0.000119,0.000119
59,14135.1,1.23295,0.94724,1.24954,0.73542,0.54248,0.63489,0.37283,1.4454,1.07948,1.33664,8.6e-05,8.6e-05,8.6e-05
60,14359.7,1.23054,0.92986,1.24104,0.72609,0.54991,0.638,0.37165,1.46674,1.07772,1.34055,5.3e-05,5.3e-05,5.3e-05
